Nombre,RUT,Email,Capital,TipoBitacora
Ema Tecnologia,11111111-1,ema@tec.cl,10000.00,Tecnologia
Salva Salud,22222222-2,salva@salud.cl,20000.00,Salud
Educa Chile,33333333-3,edu@edu.cl,5000.00,Educacion
Ana Rodriguez,44444444-4,ana.rodriguez@innovatech.cl,15000.00,Tecnologia
Carlos Mendez,55555555-5,carlos.mendez@healthplus.cl,25000.00,Salud
Maria Lopez,66666666-6,maria.lopez@edulearn.cl,8000.00,Educacion
Juan Perez,77777777-7,juan.perez@foodtech.cl,12000.00,Alimentos
Sofia Garcia,88888888-8,sofia.garcia@greentech.cl,18000.00,Tecnologia
Pedro Silva,99999999-9,pedro.silva@medcare.cl,30000.00,Salud
Laura Torres,10101010-1,laura.torres@smartedu.cl,6000.00,Educacion
Diego Morales,12121212-1,diego.morales@organicfood.cl,14000.00,Alimentos
Valentina Ruiz,13131313-1,valentina.ruiz@appdev.cl,22000.00,Tecnologia
