Nombre,RUT,Email,CapitalDisponible
Inversor A,44444444-4,inv.a@mail.com,50000,00
Inversor B,55555555-5,inv.b@mail.com,98001,00
Roberto Investments,20202020-2,roberto@investments.cl,75000,00
Claudia Capital,21212121-2,claudia@capitalfund.cl,120000,00
Venture Partners SA,22222222-2,info@venturepartners.cl,200000,00
Angel Investor Group,23232323-2,contact@angelgroup.cl,80000,00
Innovation Fund,24242424-2,admin@innovationfund.cl,150000,00
Tech Venture Capital,25252525-2,investments@techvc.cl,300000,00
Green Investment Co,26262626-2,green@investment.cl,90000,00
Future Capital,27272727-2,future@capital.cl,110000,00
Smart Money Fund,28282828-2,smart@moneyfund.cl,180000,00
Digital Ventures,29292929-2,digital@ventures.cl,250000,00
